ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
LN25M76WHC_CLU#151,Regular,Negated clause,Single,NA,NA,it (not massive scale) big massacre no,Although not on the same scale of massacre.,1912,Neg/reprise,Single,Present,post-predicate (non-reprise & clause-final),"HS, NHS, HS",CA:SIGNER/BIG-EVENT?,NA,"not, no",Single,Multiple?,"PT:, BIG, KILL, NOTHING",BIG
LN26M77WHC_CLU#021,Regular,Negated clause,Single,NA,NA,(me) feel ill no nothing,As I was out of it I did not feel ill at all. ,1513,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"HS , NHS",NA,NA,"feel, ill, nothing, nothing-prog",Single,nothing,"FEEL, ILL02, NO, NOTHING","ILL02, NO, NOTHING"
LN26M77WHC_CLU#022,Regular,Negated clause,Single,NA,NA,(me not) feel (much) ,I didn't feel much but noticed that Mother looked worried and that was it.,829,Neg/declarative,Absent,Present,NA,HS,CA:SIGNER,NA,much,Absent,Absent,FEEL,FEEL
LN26M77WHC_CLU#037,Irregular,Negated clause,Single,NA,NA,me don't-know,I don't know about me as I don't remember being taken in to hospital at all.,645,Neg/declarative,Single,Absent,other,NHS,NA,NA,me,Absent,Absent,"PT:PRO1SG, KNOW-NOT",NA
LN26M77WHC_CLU#040,Regular,Negated clause,Single,NA,NA,(me) remember nothing (about) that really nothing (I don't remember anything about that),I don't know about me as I don't remember being taken in to hospital at all.,1748,Neg/reprise,Multiple,Present,reprise (clause-final),HS,NA,NA,"I remember, nothing, about that, really",Single,nothing,"REMEMBER, NOTHING, PT:PRO3SG, NOTHING, G:WELL","FBUOY, NOTHING"
LN26M77WHC_CLU#059,Irregular,Negated clause,EmbedDepend,contained,independent,(we) cannot prove it cannot,"I know you can't prove it but some people feel that after praying, whetever you had been asking for, your prayer has been answered. ",1629,Neg/reprise,Multiple,Present,reprise (clause-final),NHS,NA,NA,"can't, prove, it, can't",Multiple,N/A,"CAN-NOT, UNKNOWN(PROVE), FS:IT, CAN-NOT",FS:IT
LN26M77WHC_CLU#065,Regular,Negated clause,Single,NA,NA,not always but-well...,Although it's not always the case.,2283,Neg/declarative,Single,Present,pre-predicate,NHS,NA,NA,"not, always",Single,not,"NO, ALWAYS02, G:WELL",G:WELL
LN26M77WHC_CLU#107,Irregular,Negated clause,Single,NA,NA,cannot believe it me,It's unbelievable.,1396,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, believe, it",Single,can't,"CAN-NOT, BELIEVE, FS:IT, PT:PRO1SG","BELIEVE, FS:IT"
LN26M77WHC_CLU#108,Regular,Negated clause,Single,NA,NA,(me) cannot believe --,I really can't believe it.,721,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, believe",Single,can't,NA,"CAN-NOT, BELIEVE"
LN26M77WHC_CLU#112,Regular,Negated clause,Single,NA,NA,(it) doesn't help,I am sure it doesn't help at all.,1172,Neg/declarative,Single,Present,pre-predicate,"HS, Nod",NA,NA,"doesn't, help",Single,doesn't,"NOT, HELP","NOT, HELP"
LN26M77WHC_CLU#124,Regular,Constituent negation?,Single,NA,NA,from-then-on (not) long really (things got) better improved,"After that point, it wasn't long before things had improved.",3562,NA,Absent,Present,pre-predicate,"NHS, HS, Nod, NHS , Nod",NA,NA,"not long, really, better, improve",Single,N/A,"FROM-THEN-ON, SLOW, TRUE, G:WELL, BETTER, IMPROVE","FROM-THEN-ON, SLOW, TRUE, G:WELL, BETTER, IMPROVE"
LN26M77WHC_CLU#130,Regular,Negated clause,Single,NA,NA,(can't) hear (can't) see anything you-know!,I couldn't hear any longer and couldn't see at all.,3951,Neg/declarative,Absent,Present,NA,"HS, NHS",CA:SIGNER,NA,"can't hear, can't see",Multiple,Multiple,"HEAR, G:WELL, LOOK, G:WELL",G:WELL
LN26M77WHC_CLU#147,Regular,Constituent negation,Single ,NA,NA,(me) fully blind (not) long maybe one month one month,"I wasn't fully blind for long, perhaps a month.",4567,NA,Absent,Present,NA,"NHS , HS, NHS  ",NA,NA,"full, blind, not long, maybe, one, month, one, month",Single,N/A,"FULL, BLIND, SLOW, MAYBE, ONE, MONTH, ONE, MONTH","FULL, SLOW, MONTH, TBUOY, MONTH"
MC01M18WHC_CLU#012,Regular,Negated clause,Single,NA,NA,(you) don't know?,Don't know?,680,Neg/response,Single,Present,other,HS,NA,NA,don't know,Single,don't,NA,KNOW-NOT
MC01M18WHC_CLU#024,Regular,Negated clause,Depend,NA,dependent,(but no) didn't (party),"We were supposed to have a party but changed the plan, postponed it and got a group, a few friends, together. ",590,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,N/A,NOT,NOT
MC01M18WHC_CLU#034,Regular,Negated clause,Single,NA,NA,first pub/drinking (no) not good,The first pub wasn't good.,1950,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,"first, pub, not, good",Single,not,"PT:LBUOY, DRINK, NOT, GOOD",LBUOY
