ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
BL03F70WHC_LH_CLU#016,Irregular,Negated clause,Single,NA,NA,me not understand,There were children signing out there and I couldn't understand any of them.,1190,Neg/reprise,Multiple,Present,other,HS,NA,"SYLL:POOH, SYLL:POOH-prog",me,Absent,Absent,"CAN-NOT, NOT-UNDERSTAND","PT:PRO1SG, CAN-NOT, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#032,?,Negated clause,Single,NA,NA,me not-understand,"As I got indoors, my Mother waved and cried bye bye, but I did not know where she was going.",1140,Neg/declarative,Single,Present,other,HS,NA,SYLL:POOH,bye-prog,Absent,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#034,?,Negated clause,Single?,NA,NA,me not-understand wander-aimlessly/me (the) not-understanding (event happened) + (me) wander-aimlessly,"As she left crying, I looked around all the children signing and could not understand what they were talking about.",1300,Neg/declarative,Single,Present,other,"Nod, HS",CA:SIGNER,SYLL:POOH,NA,Absent,N/A,"PT:PRO1SG, NOT-UNDERSTAND","PT:PRO1SG, FROM-TO"
BL03F70WHC_LH_CLU#040,?,Negated clause,Single,NA,NA,me not-understand (them/their signing),"As she left crying, I looked around all the children signing and could not understand what they were talking about.",940,Neg/declarative,Single,Present,other,NHS,NA,SYLL:POOH,me,Absent,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#088,Regular,Negated clause,Single,NA,NA,(because not) see (each other for) long time,It was emotional as I had not seen her for a long time.,1270,Neg/declarative,Absent,Present,NA,"NHS, HS, NHS",NA,NA,"mum, look, long, time",Absent,Absent,"MOTHER?, LOOK, LONG, TIME","MOTHER?, LONG, TIME"
BL03F70WHC_LH_CLU#098,Regular,Negated clause,Single,NA,NA,(we don't know what to) say..umm,It's strange as we don't know what to talk about!,3760,Neg/declarative,Absent,Present,NA,"HS1, NHS",NA,NA,don't know what,Single,don't,NA,"?SAY, PT:, PT:"
BL03F70WHC_LH_CLU#120,Regular,Negated clause,Single,NA,NA,some (people) in-debt (can't) afford well,It's the same for people who cannot afford to keep up with their payments.,1750,Neg/declarative,Absent,Present,NA,HS,NA,NA,can't afford,Single,can't,"DEBT, AFFORD, G:WELL","SOME, DEBT, AFFORD, G:WELL"
BL03F70WHC_LH_CLU#122,Regular,INDEFINITE,Single,NA,NA,their work (nothing left) well/they (no) work (anymore) well,"As they are out of work, they can't afford it so they have to sell their houses.",1310,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,work,Absent,N/A,"WORK, G:WELL","PT:POSS3SG, WORK, G:WELL"
BL04M74WHC_CLU#009,Irregular,Negated clause,Depend,NA,independent,me won't go to Christmas party (wasn't allowed to go) ,"I wasn't allowed to go to any Christmas parties for six years, because I was naughty.",3759,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,"m(e), won't/wasn't, go, christ(mas), party",Single,N/A,"PT:PRO1SG, WILL-NOT, PT?, GO, FROM-TO, CHRISTMAS, PARTY ","FROM-TO, PARTY "
BL04M74WHC_CLU#050,Irregular,Negated clause,Single,NA,NA,(you) didn't know (yes),...and you didn't know...,819,Neg/response,Single,Present,other,"HS, Nod",NA,NA,don't know,Single,don't,KNOW-NOT,NA
"BL04M74WHC_CLU#058, BL04M74WHC_CLU#059",Regular,Constituent negation,DependEmbed,"pre-container, contained",independent,well nobody wanted (to) pay (the) Woolworths,"Because of the credit crunch, no one wants to buy things from them.",3350,NA,Single,Present,pre-predicate,"NHS, HS, NHS, NHS",NA,NA,"nobody, want, pay, the, Woolworths",Single,N/A,"G:WELL, NOTHING, WANT, PAY, PT:DET, SN:WOOLWORTHS","G:WELL, NOTHING, PAY, SN:WOOLWORTHS"
BL04M74WHC_CLU#065,Regular,Negated clause,Single,NA,NA,well they (don't want) buy,"No one wanted to buy Woolworths, so they had to close down.",1190,Neg/declarative,Absent,Present,NA,HS,NA,NA,"don't want, buy",Single,don't,"G:WELL, PT:PRO1SG, BUY","G:WELL, BUY"
BL04M74WHC_CLU#073,Regular,Negated clause,Single,NA,NA,(they can't) afford (it),They can't afford it,819,Neg/response,Absent,Present,NA,HS,NA,NA,can't afford,Single,can't,AFFORD,NA
BL04M74WHC_CLU#074,Regular,Negated clause,Depend?,NA,dependent,because (they can't) go (to work),They have to move out as they can't keep up with their payments as they are both out of work. ,1483,Neg/response,Absent,Present,NA,HS,NA,NA,"well?, bec(ause), can't, got",Single,N/A,"G:WELL, THROUGH, PT:PRO3SG, GO02",G:WELL
BL04M74WHC_CLU#075,Irregular,Negated clause,Depend?,NA,independent,means (they) won't pay (their mortgage),They have to move out as they can't keep up with their payments as they are both out of work. ,1619,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"won't, pay mortgage",Single,N/A,"MEANING, WILL-NOT, PAY","MEANING, WILL-NOT, PAY"
BL04M74WHC_CLU#077,Regular,Negated clause,Single,NA,NA,well (have no) money (they don't have any money),"They can't afford their homes, so they've had to give it up and live with their parents. ",1424,Neg/declarative,Absent,Present,NA,HS,CA:YOUNG-PEOPLE,NA,no money,Single,no,"G:WELL, MONEY02","G:WELL, MONEY02"
BL04M74WHC_CLU#128,Regular,INDEFINITE,Embed,contained,NA,"no (jobs/work)/(boss) ""no-ed""",I agreed and we went but disappointedly the boss said no and that I had to wait six months.,702,Neg/response,Single,Present,other,HS,CD:BOSS,NA,no,Single,N/A,NO,NO
BL04M74WHC_CLU#133,Regular,Negated clause,Single,NA,NA,"I (had no) money, well",I had to wait and I was patient as I had no money then until they got back to me. ,615,Neg/declarative,Absent,Present,NA,NHS?,NA,NA,no money,Single,no,"PT:PRO1SG, MONEY02, G:WELL",G:WELL
BL04M74WHC_CLU#139,Regular,Negated clause,Single,NA,NA,(then) boss he (don't) want me,I took a temporary job in building for around four weeks until the boss said he did not want me any longer.,1434,Neg/declarative,Absent,Present,other,"HS, NHS",NA,NA,"boss, don't want, me",Single,don't,"BOSS, PT:DET, WANT, PT:PRO1SG",NA
BL04M74WHC_CLU#150,Regular,Negated clause,Single?,NA,NA,(me) not-like me (for) seven years,"For seven years, I didn't enjoy the job as it was too far to travel so I moved to Avonmouth where I once again saw a deaf person. ",1434,Neg/declarative,Absent,Present,NA,HS,NA,NA,"don't like, for, seven",Single,N/A,"LIKE, PT:PRO3SG, SEVEN, YEAR","SEVEN, YEAR"
BL04M74WHC_CLU#151,Regular,INDEFINITE,Single?,NA,NA,well (there was no) money (nothing)/no money,"For seven years, I didn't enjoy the job as it was too far to travel so I moved to Avonmouth where I once again saw a deaf person. ",556,Neg/declarative,Absent,Present,NA,HS,NA,NA,NA,Absent,N/A,"G:WELL, MONEY02",G:WELL
BL04M74WHC_CLU#178,Regular,Negated clause,Embed,contained,NA,"(but no) me (not) work very-long me, only four (or) five (months)","I explained that I had not worked for very long, only four or five months.",2712,Neg/declarative,Absent,Present,NA,HS,CD:SIGNER,NA,"not/don't?, work, very long, only, four, fi(ve) mo(nths)",Single,N/A,"PT:PRO1SG, WORK, LONG, PT:, PT:PRO1SG, FOUR02, FIVE","WORK, LONG"
BL04M74WHC_CLU#179,Regular,Negated clause,Single,NA,NA,"(oh it doesn't matter) anything (they said)/""better"" (than being too late)","Oh it doesn't matter, they said",1258,Neg/response,Single,Present,other,HS,CD:COUNCIL,NA,don't matter,Single,don't,ANYTHING,ANYTHING
BL04M74WHC_CLU#184,Regular,Negated clause,Single,NA,NA,me (not) long work/working,I asked my friends what they thought especially I had not worked long.,1212,Neg/declarative,Absent,Present,NA,"NHS, HS",CD:SIGNER,NA,"long, work",Absent,Absent,"PT:PRO1SG, LONG, WORK","LONG, WORK"
BL07F35WDC_CLU#005,Regular,Negated clause,Single,NA,NA,(so me not) go-with-them well... (no),"I didn't go with them very much and members started to dwindle, which is a bit of a shame. ",2240,Neg/declarative,Absent,Present,NA,HS,NA,NA,"with with with, well",Absent,Absent,"G:WELL, PT:PRO1SG, WITH, G:WELL",NA
BL07F35WDC_CLU#026,Regular,Negated clause,Single,NA,NA,before deaf travel-around (no) not-much, Deaf people tend to travel more compared to the past when they didn't travel much... ,2750,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,"before, deaf, club, not much",Single,not,"PAST, DEAF, GO-TO, FEW02",NA
BL07F35WDC_CLU#031,Regular,Constituent negation,Depend,NA,dependent,but (there are not) enough teams there-there,"Yes but there's not enough players, aren't you involved? ",2190,NA,Absent,Present,NA,"NHS, HS, NHS",NA,NA,"but, not enough, team-regr, team",Single,N/A,"BUT, PLENTY, UNIT, PT:DETPL",UNIT
BL07F35WDC_CLU#035,Irregular,Negated clause,DependDepend?,NA,dependent+independent,"because (if) you don't-bother pay-them today,",But if he doesn't pay today then his place will be offered to someone else... ,2080,Neg/declarative,Single,Present,pre-predicate,"NHS, HS1, NHS",NA,NA,"why, he, bother, pay, today",Absent,N/A,"WHY, PT:PRO3SG, G:DISMISS/SHOULDN'T, PAY, NOW","G:DISMISS/SHOULDN'T, PAY, NOW"
BL07F35WDC_CLU#037,Regular,Negated clause,Single,NA,NA,he (didn't pay before today),He's taking the risk and will pay today...  ,838,Neg/declarative,Absent,Present,NA,HS,NA,NA,NA,Absent,Absent,PT:PRO3SG,FBUOY
BL07F35WDC_CLU#079,Regular,Negated clause,Single,NA,NA,(it isn't very) far-from my house,"It's at Kingswood, not far from my home which is fantastic! ",1945,Neg/declarative,Absent,Present,NA,"HS, NHS",NA,NA,"not very far, my, house",Single,not,"NEAR, PT:POSS1SG(1), HOUSE","NEAR, HOUSE"
BL07F35WDC_CLU#085,Regular,Negated clause,Single,NA,NA,(me not) used-to-it little-bit-scattered,I wasn't used to it but took time to readjust.,1250,Neg/declarative,Absent,Present,NA,HS,CA:SIGNER,CA:TH,n(ot) used (to it),Single,not,"PREFER, PANIC",PANIC
BL07F35WDC_CLU#095,Irregular,Negated clause,Single,NA,NA,can't have (a) perfect child,You can't expect your children to be perfect.,3530,Neg/declarative,Single,Absent,pre-predicate,NHS,NA,NA,"can't, have, perfect, perfect-prog, child, child-prog",Single,can't,"CAN-NOT, HAVE, PERFECT, CHILD(FALSE-START), CHILD, G:WELL","HAVE, PERFECT"
BL07F35WDC_CLU#121,Regular,Negated clause,Single,NA,NA,"(you) never know, you (never) know",But you'd never know what's round the corner.,1110,Neg/declarative,Single,Present,pre-predicate,"NHS, HS?",NA,NA,"you nev(er), nev(er), you, never know",Multiple,Multiple,"NEVER, KNOW, PT:PRO2SG, KNOW",NA
BL07F35WDC_CLU#125,Regular,Negated clause,Single,NA,NA,(no) not now (no),"No, not in these days.",730,Neg/response,Single,Present,other,HS,NA,NA,"not, now",Single,not,"NOT, NOW","NOT, NOW"
BL07F35WDC_CLU#131,Irregular,Negated clause,Single,NA,NA,(it) all won't feel (the) same,"It wouldn't be the same, it's better to complete it.",1425,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"won't-regr, won't, feel, the same",Single,won't,"ALL, WILL-NOT, FEEL, SAME",SAME
BL07F35WDC_CLU#134,Regular,Negated clause,Single,NA,NA,"you going-out tonight drinking, no?/you going-out tonight drinking, (or) you not?","Aren't you going out tonight drinking, no?",2010,Neg/interrogative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,PRESSED-LIPS,"(y)ou, going, out tonight",Absent,Absent,"PT:PRO2SG, GO, NIGHT, ALCOHOLIC, PT:PRO2SG, NOTHING",NIGHT
BL07F35WDC_CLU#141,Regular,Negated clause,Single,NA,NA,no way! (me won't support BC),No way!,360,Neg/response,Single,Present,other,HS1,NA,NA,no way,Single,no,REFUSE,NA
BL08M26WDC_CLU#008,?,Negated clause,DependEmbed?,contained,independent,erm many people all-around-there not-bothered (about) age,Yes I think I remember there were many people mixing together regardless of their age when I was younger.,2360,Neg/declarative,Single,Present,other,"NHS, HS",NA,NA,"lot, people, people-prog, didn't matter, age",Single,N/A,"G:ERM, MANY, PEOPLE, ALL, PROBLEM-NOT, AGE","MANY, ALL, PROBLEM-NOT"
BL08M26WDC_CLU#016,Irregular,Negated clause,Single,NA,NA,don't-know me,"I don't know, maybe we should create something special for all? ",450,Neg/declarative,Single,Absent,other,NHS,NA,NA,"don(t k)now, don(t k)now-prog",Multiple,Multiple,"KNOW-NOT, PT:PRO1SG",NA
BL08M26WDC_CLU#022,Irregular,Negated clause,Single,NA,NA,(me) don't know me,"But we should try and aim for something here, well I don't know really...",870,Neg/declarative,Single,Present,other,HS,NA,NA,don't know,Single,don't,"KNOW-NOT, PT:PRO1SG, G:WELL","KNOW-NOT, G:WELL"
BL08M26WDC_CLU#031,Regular,Negated clause,Single,NA,NA,"me (do) nothing (no training, practice, nothing)","I've not done anything, none of us have done anything yet!",801,Neg/declarative,Single,Present,other,HS,NA,NA,nothing,Single,nothing,"PT:PRO1SG, NOTHING",NOTHING
BL08M26WDC_CLU#032,Regular,Negated clause,Single,NA,NA,all-of-us (do) nothing,"I've not done anything, none of us have done anything yet!",790,Neg/declarative,Single,Present,other,HS?,NA,NA,no?,Single,no,"ALL, NOTHING",NOTHING
BL08M26WDC_CLU#035,Regular,Negated clause,Single,NA,NA,(there's) nothing-doing from-then-on,There's nothing else planned till then!,711,Neg/declarative,Single,Present,other,HS,NA,NA,nothing,Single,nothing,"NOTHING, FROM-THEN-ON",NOTHING
BL08M26WDC_CLU#045,Regular,Negated clause,Single,NA,NA,(they at) difficult age or (not)?/(they are) difficult teenagers or (not)?,Aren't they difficult teenagers?,1900,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,NA,"(diffi)cult, age, or",Absent,Absent,"HARD, AGE, APPROXIMATE",HARD
BL08M26WDC_CLU#049,Irregular,Negated clause,Single,NA,NA,(me) don't-know maybe (will go),"...but that's all, I don't know, maybe...",1110,Neg/declarative,Single,Present,other,HS,NA,NA,"don't know, maybe",Single,don't,"KNOW-NOT, PERHAPS","KNOW-NOT, PERHAPS"
BL08M26WDC_CLU#055,Regular,Negated clause,Embed,contained,NA,"we-all me (haven't) played football (for) one, two, three, four years",I think that we haven't been playing football for the last four years!,3630,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,"all, haven't, football?, for, one, two, three, three-prog, four, years",Single,N/A,"ALL, PT:PRO1SG, PLAY, KICK, G:WELL, ONE, TWO, THREE02, FOUR02, YEAR, SINCE","PLAY, KICK, G:WELL, FBUOY, YEAR, SINCE"
BL08M26WDC_CLU#086,Regular,Negated clause,Single,NA,NA,they guaranteed future/progress? no, S/he realised that it was the wrong time to look for a job as nothing is actually guaranteed.,1720,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,PRESSED-LIPS,"guarantee, guarantee-prog",Absent,Absent,"PT:PRO3SG, GUARANTEE, FUTURE, NOTHING, G:WELL","GUARANTEE, FUTURE, NOTHING"
BL08M26WDC_CLU#090,Regular,INDEFINITE,Single,NA,NA,nothing guaranteed now/(there are) no guarantees now,Nothing is guaranteed nowadays...,1240,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"nothing, guarantee, now",Single,N/A,"NOTHING, GUARANTEE, NOW","NOTHING, GUARANTEE, NOW"
BL08M26WDC_CLU#098,Regular,Negated clause,Single?,NA,NA,(they) finish building? (no) they (did not),"They are around halfway, with another six to eight months before they finish the works. ",1190,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,"finish, finish-prog",Absent,N/A,"FINISH, MAKE, PT:PRO3SG","FINISH, MAKE"
BL08M26WDC_CLU#101,Regular,Constituent negation,Depend,NA,dependent,because (there is no) money,They've all stopped completely and have left as there is no money left.  ,1000,NA,Absent,Present,NA,HS,NA,NA,"because, no money",Single,N/A,"WHY, MONEY, G:WELL","MONEY, G:WELL"
BL08M26WDC_CLU#103,Irregular,Negated clause,Embed,contained,NA,(they) can't make money,They know that they cannot recoup the money so they've left it for now. ,1260,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, make, money",Single,N/A,"CAN-NOT, MAKE, MONEY, PT:PRO3SG","MAKE, MONEY"
BL08M26WDC_CLU#110,Regular,Negated clause,Depend,NA,dependent,if nothing (no money),"If not, they'd have to leave it as it is. ",670,Neg/declarative,Single,Present,other,HS,NA,NA,"if, (no)th(ing)",Single,N/A,"IF, NOTHING","IF, NOTHING"
BL08M26WDC_CLU#111,Irregular,Negated clause,Depend,NA,independent,(they) can't finish-off,"If not, they'd have to leave it as it is. ",1430,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,well,Absent,N/A,"CAN-NOT, G:WELL, GO","G:WELL, GO"
BL08M26WDC_CLU#114,Regular,Negated clause,Single,NA,NA,(they) should finish (by now but they are not) ,They should be finished by now but they are not. ,925,Neg/declarative,Absent,Present,NA,HS,NA,NA,should finish,Absent,Absent,"FINISH , G:WELL",FINISH 
BL08M26WDC_CLU#116,Irregular,Negated clause,Embed,contained,NA,(they) can't make money,They know that they cannot make any profit from the buildings so they've just literally dropped it all.,1070,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, make, money",Single,N/A,"CAN-NOT, MAKE, MONEY, G:WELL","MAKE, G:WELL"
BL08M26WDC_CLU#119,Regular,Negated clause,Single,NA,NA,nothing (doing) tonight umm... (I'm not doing anything tonight),Nothing has been planned for tonight...,2300,Neg/response,Single,Present,other,HS,NA,NA,"nothing, tonight",Single,nothing,"NOTHING, NIGHT, G:WELL, G:ERM",NIGHT
BL09F45WHC_CLU#009,Regular,Negated clause,Single,NA,NA,(operation) for that-there there-shoulder arm-movement not-comfortable,The operation is for my shoulder because moving my arm is not comfortable in my shoulder.,1686,Neg/response,Absent,Present,NA,"NHS, HS",CA:SIGNER,PRESSED-LIPS,comfortable,Absent,Absent,"SHOULDER, G:CA:SHOULDER, COMFORTABLE ",NA
BL09F45WHC_CLU#012,Regular,Negated clause,Single,NA,NA,(it's not) inflamed (no)/(it's not) inflammation (no),It's not an inflammation but there has been a swelling.,712,Neg/response,Absent,Present,NA,HS,NA,NA,inflame,Absent,Absent,FS:I-INFLAMMATION,FS:I-INFLAMMATION
BL09F45WHC_CLU#035,Irregular,Negated clause,Single,NA,NA,(me) don't-know!,I don't really know...,1999,Neg/response,Single,Present,other,"NHS, HS",NA,PRESSED-LIPS,NA,Absent,Absent,"INDECIPHERABLE(FALSE-START), KNOW-NOT","INDECIPHERABLE(FALSE-START), KNOW-NOT"
BL09F45WHC_CLU#042,Regular,Negated clause,Single,NA,NA,two weeks (duration me) not allowed drive-car,"No, I will not be allowed to drive for two weeks.",3082,Neg/response,Single,Present,pre-predicate,"NHS, HS1, NHS",NA,NA,"two weeks, not, allow, drive",Single,not,"PT:, WEEK-TWO, NO, ALLOW, VEHICLE","NO, ALLOW, VEHICLE"
BL09F45WHC_CLU#051,Regular,Negated clause,Single,NA,NA,not physically-turn-child's-head-around no,I explain them how they can communicate with their child and how to get their attention appropriately.,1190,Neg/response,Multiple,Present,reprise (clause-final),"HS, HS1, HS",CA:PARENT,NA,"not, no",Multiple,Multiple,"NO, G:CA:TURN-PERSON'S-CHIN, NO","FBUOY, NO"
BL09F45WHC_CLU#052,Regular,Negated clause,Single,NA,NA,(not) tap-child-on-head no,I explain them how they can communicate with their child and how to get their attention appropriately.,868,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",CA:PARENT?,NA,no,Single,no,"TOUCH, NO","FBUOY, NO"
BL09F45WHC_CLU#077,Regular,Negated clause,Single,NA,NA,your brother (was not) oral-deaf (was) he (at all)?,"Your brother wasn't an oral person, was he?",2288,Neg/response,Absent,Present,NA,"NHS, HS",NA,PRESSED-LIPS,brother,Absent,Absent,"BROTHER, ORAL, PT:PRO3SG","PT:, PT:POSS1SG, BROTHER, FBUOY"
BL09F45WHC_CLU#084,Irregular,Negated clause,SharedCecho,NA,NA,(oh me) don't-know me,"Oh, I don't know...",1017,Neg/response,Single,Present,other,HS,NA,NA,"don't, know",Single,N/A,NA,"KNOW-NOT, PT:PRO1SG"
BL09F45WHC_CLU#108,Irregular,Negated clause,Single,NA,NA,(me) can't remember why,I can't really remember why.,644,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,can't,Single,can't,NA,"CAN-NOT, REMEMBER04, WHY"
BL09F45WHC_CLU#109,Irregular,Negated clause,Single,NA,NA,(me) don't-know why,I can't really remember why.,868,Neg/declarative,Single,Present,other,HS,NA,NA,don't know,Single,don't,"KNOW-NOT, WHY",KNOW-NOT
BL09F45WHC_CLU#118,Irregular,Negated clause,Depend,NA,independent,(me) not-have TA,Except for Maths and Science as I did not have any Teaching Assistants then.,2077,Neg/declarative,Single,Present,other,"HS1, NHS",NA,SYLL:POOH,TA (teacher assistant),Absent,N/A,"NOT-HAVE, FS:TA","LBUOY-TWO02, FS:TA"
BL09F45WHC_CLU#120,Irregular,Negated clause,Single,NA,NA,well (we) not-have interpreters,We didn't even have any interpreters!,1161,Neg/response,Single,Present,other,"HS, NHS",NA,SYLL:POOH,interpreter,Absent,Absent,"G:WELL, NOT-HAVE, INTERPRETER, WRITE, G:WELL","G:WELL, INTERPRETER, G:WELL"
BL09F45WHC_CLU#122,?,Negated clause,Single,NA,NA,(we/me) not-understand,I couldn't understand the teacher and waited for her to finish talking to the rest of the class.,478,Neg/declarative,Single,Present,other,HS,CA:SIGNER,CA:PRESSED-LIPS,NA,Absent,Absent,"G:WELL, NOT-UNDERSTAND","G:WELL, NOT-UNDERSTAND"
BL09F45WHC_CLU#127,?,Negated clause,Single,NA,NA,(well we) not-understand,We still didn't understand anything!,683,Neg/declarative,Single,Present,other,HS,CA:SIGNER,CA:PRESSED-LIPS,NA,Absent,Absent,"G:WELL, NOT-UNDERSTAND, G:WELL","G:WELL, NOT-UNDERSTAND, G:WELL"
BL09F45WHC_CLU#128,Regular,Negated clause,Single,NA,NA,well (no we didn't have) one/well (no there was no-) one,"Well, (there was) no-one!",1083,Neg/response,Absent,Present,NA,HS,NA,NA,no(one),Single,no one,G:WELL,"G:WELL, ONE, G:WELL"
BL09F45WHC_CLU#144,Regular,Negated clause,Single,NA,NA,me well nothing (me not taught/have anything),Whereas I had nothing.,1151,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,Absent,"PT:PRO1SG, G:WELL, NOTHING",G:WELL
BL09F45WHC_CLU#145,Regular,Negated clause,Single,NA,NA,well me nothing (not good at maths/not taught by anyone),"Ah well, I didn't have anything.",1040,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,Absent,"PT:PRO1SG, G:WELL, NOTHING","G:WELL, G:WELL, NOTHING"
BL09F45WHC_CLU#165,Regular,Negated clause,Single,NA,NA,now (the friendship/the person) not-there,That person was nice but we've lost touch with each other. ,1206,Neg/declarative,Absent,Present,NA,"NHS, HS1, NHS, HS",NA,CWF,NA,Absent,Absent,"NOW, DISAPPEAR, G:WELL, G(NMS):NO",DISAPPEAR
BL10F44WHC_CLU#005,Regular,Negated clause,Depend,NA,independent,"(no they) not-here (not coming here, dissipated)",Now they have all gone.,702,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,N/A,DISAPPEAR,DISAPPEAR
BL10F44WHC_CLU#011,Regular,Negated clause,Single,NA,NA,(now) deaf club disappearing (not exist) you-know,I reckon we've now shifted to a routine of visiting each other at our homes instead of the deaf clubs.,2339,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,PRESSED-LIPS,"deaf, club",Absent,Absent,"DEAF(FALSE-START), DEAF, CLUB, DISAPPEAR, G(NMS):NO","CLUB, DISAPPEAR, PT:PRO1SG, G:WELL"
BL21M37BHC_CLU#007,Regular,Constituent negation,Single,NA,NA,me investigated (that and) saw nothing me,I haven't come across it in my search. ,1405,NA,Single,Absent,NA,NHS,NA,PRESSED-LIPS,NA,Absent,N/A,"PT:PRO1SG, RESEARCH, LOOK, NOTHING, PT:PRO1SG","RESEARCH, NOTHING"
BL21M37BHC_CLU#015,Irregular,Negated clause,Single,NA,NA,well me don't-know,"The name doesn't ring any bells but if I met him, I may recognise him. ",449,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,Absent,"G:WELL, PT:PRO1SG, KNOW-NOT",G:WELL
BL21M37BHC_CLU#030,Regular,Negated clause,SharedCecho,NA,NA,no (training for deaf actors existed)/(there was) nothing,"There was nothing, right.",819,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,N/A,NOTHING,NOTHING
BL21M37BHC_CLU#057,Irregular,Negated clause,Embed,contained,NA,that time me (in) school me not-like drama (class/subject),However it must be said that it's ironic as I never liked drama as a schoolboy!,2342,Neg/declarative,Single,Present,other,"NHS, HS",NA,PRESSED-LIPS,"that-regr, that, school, school-prog, drama",Absent,N/A,"PT:DET, TIME, PT:PRO1SG, SCHOOL, PT:PRO1SG, G:WELL, PT:PRO1SG, LIKE-NOT, THEATRE","TIME, THEATRE"
BL21M37BHC_CLU#109,Regular,Negated clause,Single,NA,NA,then they disappeared not-around-anymore right,And they dispersed after that.,2195,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,PRESSED-LIPS ,NA,Absent,Absent,"NEXT, PT:PRO3SG, DISAPPEAR, G:WELL, ATMOSPHERE, G:RIGHT","DISAPPEAR, G:WELL, ATMOSPHERE, G:RIGHT"
BL22M43WHC_CLU#005,Regular,Negated clause,Single,NA,NA,(you before) heard (of) them (no)?,Haven't you heard of it?,930,Neg/interrogative,Absent,Present,NA,HS,NA,NA,before heard,Absent,Absent,"BEFORE02, PT:PRO3SG",FBUOY
BL22M43WHC_CLU#010,Regular,Negated clause,Single,NA,NA,(oh it is) not-there (disappeared),Oh it has gone now.,1490,Neg/response,Absent,Present,NA,"HS, Nod1",NA,PRESSED-LIPS,NA,Absent,Absent,"DISAPPEAR, G:WELL",DISAPPEAR
BL22M43WHC_CLU#039,Regular,Negated clause,SharedCecho,NA,NA,Switch? no (she was not involved in that show),No she wasn't involved.,2250,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,"Switch, no",Single,N/A,"SWITCH-BBC, NO",PBUOY
BL22M43WHC_CLU#042,Regular,Negated clause,Single,NA,NA,(she is) not deaf no,"The hearing one, not the deaf one.",940,Neg/response,Multiple,Present,reprise (clause-final),HS,NA,NA,"not, deaf",Single,not,"NO, DEAF, NO",NA
BL22M43WHC_CLU#067,Regular,Negated clause,Single,NA,NA,that time training for deaf well me-look-around there-was-nothing,There wasn't much opportunities for deaf people back then.,2990,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS, NHS",CA:SIGNER,PRESSED-LIPS,"that, time, train(ing), for deaf",Absent,Absent,"PT:DET/PAST, TIME, G:WELL, PRACTISE, G:WELL, NOTHING","TIME, G:WELL, PRACTISE, DEAF, G:WELL, NOTHING"
BL22M43WHC_CLU#074,Regular,Negated clause,Single,NA,NA,not deaf school no (it was not the deaf school),It wasn't the deaf school but the university one. ,620,Neg/response,Multiple,Present,reprise (clause-final),HS,NA,NA,"not, deaf, school",Single,not,"NO, DEAF, NO",NA
BL22M43WHC_CLU#082,Regular,Negated clause,Single,NA,NA,director me no (but I wasn't a director),I wasn't a director though.,930,Neg/response,Absent,Present,NA,HS,NA,NA,di(rector),Absent,Absent,"BOSS, PT:PRO1SG","BOSS, BUT"
